"return-date","order-id","sku","asin","fnsku","product-name","quantity","fulfillment-center-id","detailed-disposition","reason","status","license-plate-number","customer-comments"
"2020-12-29T00:40:51-08:00","111-8887791-2753053","AN-US-RB27","B074FLWHTZ","B074FLWHTZ","JOISCOPE Portable Shoe Storage Organzier Tower, Modular Cabinet Shelving for Space Saving, Shoe Rack Shelves for Shoes, Boots, Slippers (2x7-tier)","1","LUK7","CARRIER_DAMAGED","UNWANTED_ITEM","Reimbursed","LPNRRAN2527955",
"2020-12-28T21:45:08-08:00","113-2768384-1093068","AN-US-BMW12","B074FKKTCV","B074FKKTCV","MEGAFUTURE Plastic Wardrobe, Portable Wardrobe with Wood Grain Pattern,Closet for Hanging ClothesCombination Armoire, Modular Cabinet for Space Saving","1","LUK7","CARRIER_DAMAGED","UNWANTED_ITEM","Reimbursed","LPNRRAC4797523",
"2020-12-28T21:02:28-08:00","113-2477647-9288218","AN-US-TMBLK27","B082WVQRHS","X002ICPJB9","JOISCOPE Portable Shoe Storage Organzier Tower, Modular Cabinet for Space Saving, Ideal Shoe Rack for Shoes, Boots, Slippers (black,2x7-tier)","1","CVG2","CARRIER_DAMAGED","MISSING_PARTS","Reimbursed","LPNRRAO4258667",
"2020-12-28T09:28:07-08:00","113-8798211-3772216","AN-US-BMW-16","B074FGGCSV","B074FGGCSV","JOISCOPE MEGAFUTURE Plastic Wardrobe, Portable Wardrobe with Wood Grain Pattern,Closet for Hanging ClothesCombination Armoire, Modular Cabinet for Spa","1","TUS1","CARRIER_DAMAGED","QUALITY_UNACCEPTABLE","Reimbursed","LPNPM293665578",
"2020-12-28T07:02:26-08:00","113-8094206-0227464","AN-US-RB37","B074FGM9KS","B074FGM9KS","JOISCOPE Portable Shoe Storage Organzier Tower, Modular Cabinet Shelving for Space Saving, Shoe Rack Shelves for shoes, boots, Slippers (3x7-tier)","1","CVG2","CARRIER_DAMAGED","NOT_AS_DESCRIBED","Reimbursed","LPNRRAQ7299176",
"2020-12-28T05:43:11-08:00","113-4639266-3859423","AN-US-RB8","B074FP6DTZ","B074FP6DTZ","MEGAFUTURE Portable Wardrobe for Hanging Clothes, Combination Armoire, Modular Cabinet for Space Saving, Ideal Storage Organizer Cube for Books, Toys,","1","IND8","DEFECTIVE","NOT_AS_DESCRIBED","Unit returned to inventory","LPNN817461865","It’s suppose to include stickers, connectors, and instructions. It didn’t come with either of these things"
"2020-12-28T05:03:34-08:00","113-1322813-8889009","AN-US-TMWHT27","B082WVH9DG","X002IE15PB","JOISCOPE Portable Shoe Storage Organzier Tower, Modular Cabinet for Space Saving, Ideal Shoe Rack for Shoes, Boots, Slippers (white,2x7-tier)","1","LEX2","CUSTOMER_DAMAGED","UNWANTED_ITEM","Unit returned to inventory","LPNPM310613842",
"2020-12-27T23:24:26-08:00","111-6131268-2126650","AN-US-BMW8","B074FHSHVK","B074FHSHVK","MEGAFUTURE Wood Pattern Portable Wardrobe Closet for Hanging Clothes, Combination Armoire, Modular Cabinet for Space Saving, Ideal Storage Organizer C","1","PIT2","CARRIER_DAMAGED","NOT_AS_DESCRIBED","Reimbursed","LPNRRAR9515976",
"2020-12-27T21:49:39-08:00","113-9015099-2149822","AN-US-RB110","B074FPW45V","B074FPW45V","JOISCOPE Portable Shoe Storage Organzier Tower, Modular Cabinet for Space Saving, Shoe Rack Ideal for Shoes, Boots, Slippers (1x10-tier, White)","1","LEX1","CARRIER_DAMAGED","NOT_AS_DESCRIBED","Reimbursed","LPNRRAL4968649",
"2020-12-27T12:41:16-08:00","113-1206126-8453826","AN-US-BMW20","B074FJ91BV","B074FJ91BV","MEGAFUTURE Wood Pattern Portable Wardrobe Closet for Hanging Clothes, Combination Armoire, Modular Cabinet for Space Saving, Ideal Storage Organizer C","1","PIT2","SELLABLE","UNWANTED_ITEM","Reimbursed","LPNRRAD0925457","It is too big for the space"
